country,holiday_date,holiday_name
guyana,2018-07-02,CARICOM Day 
guyana,2018-08-01,Emancipation Day 
guyana,2018-08-22,Eid-al-Adha 
guyana,2018-11-21,Prophet's Birthday 
guyana,2018-12-25,Christmas Day 
guyana,2018-12-26,Boxing Day 

paraguya,2018-01-01,New Year's Day 
paraguya,2018-03-01,Heroes' Day 
paraguya,2018-03-29,Maundy Thursday 
paraguya,2018-03-30,Good Friday 
paraguya,2018-05-01,Labor Day / May Day 
paraguya,2018-05-14,National Holiday 
paraguya,2018-05-15,Independence Day 
paraguya,2018-06-12,Chaco Armistice	 
paraguya,2018-08-15,Founding of Asuncion 
paraguya,2018-09-29,Boqueron Battle Victory Day 
paraguya,2018-12-08,Virgin of Caacupé Day 
paraguya,2018-12-24,Christmas Eve (Half Day) 
paraguya,2018-12-25,Christmas Day 
paraguya,2018-12-31,New Year's Eve 

Peru,2018-01-01,New Year's Day 
Peru,2018-03-29,Maundy Thursday 
Peru,2018-03-30,Good Friday 
Peru,2018-04-01,Easter Day 
Peru,2018-05-01,Labor Day / May Day 
Peru,2018-06-29,St Peter and St Paul 
Peru,2018-07-28,Independence Day 
Peru,2018-07-29,Independence Day (day 2) 
Peru,2018-08-30,Santa Rosa De Lima 
Peru,2018-10-08,Battle of Angamos 
Peru,2018-11-01,All Saints' Day 
Peru,2018-12-08,Feast of the Immaculate Conception 
Peru,2018-12-25,Christmas Day 
